埼玉	さいたま	[n.] Saitama (city)
機会	きかい	[n.] chance; opportunity
気になる	きになる	[phrase; vi.; v5ru.] to be on one's mind; to worry one; to care about; to be bothered by; to feel uneasy; to be anxious; to be curious about // [n.] to feel like; to feel inclined to // [n.] to fancy; to like; to catch one's eye
気掛かり	きがかり	[adjn..; n.] anxiety; concern; worry
完了	かんりょう	[n.; suru; no-n.] completion; conclusion // [n.] perfect (tense, form, aspect)
完了	ワンラ	[n.] end; completion
日記	にっき	[n.] diary; journal
流行る	はやる	[v5ru.; vi.] to be popular; to come into fashion // [n.] to be prevalent; to spread widely (e.g. disease); to be endemic // [n.] to flourish; to thrive
選手	せんしゅ	[n.] player (in game); team member
どんどん		[to-adv.; adv.; ono.] drumming (noise) // [n.] rapidly; steadily
曖昧	あいまい	[adjn..; n.] vague; ambiguous; unclear // [n.] fuzzy
相変わらず	あいかわらず	[adv.] as ever; as usual; the same; still
饅頭	まんじゅう	[n.] manjuu; steamed yeast bun with filling
饅頭	マントウ,マントー	[n.] mantou; (Chinese) steamed bun
同意	どうい	[n.; suru; no-n.] agreement; consent; same opinion; approval // [n.] same meaning
番組	ばんぐみ	[n.] program (e.g. TV); programme
妄想	もうそう,ぼうそう	[n.; suru] wild idea; delusion
編	へん	[n.; sufn.] compilation (of a text); editing // [n.; sufn.; cnt.] volume (of a text) // [n.] completed literary work
放送	ほうそう	[n.; suru; no-n.] broadcast; broadcasting
放送する		
ご覧ください	ごらんください	[phrase; us. kana; sonkeigo] please look at it
買い替える	かいかえる	[v1.; vt.] to buy a replacement; to replace by buying something new
仕様	しよう	[n.] way; method; means; resource; remedy // [n.] (technical) specification
撮影	さつえい	[n.; suru] photography (still or motion); photographing; filming; shooting; (video) recording
超	ちょう,チョー	[n.; sufn.; pref.] super-; ultra-; hyper-; very; really // [n.; sufn.] over (after a number or counter); more than
趣旨	しゅし	[n.] meaning; point (e.g. of a statement); gist; effect // [n.] goal; intent; object; aim; point
西部	せいぶ	[n.] western part; the west (of a region); the West (i.e. of the US)
伝統	でんとう	[n.; no-n.] tradition; convention
伝統的	でんとうてき	[adjn..] traditional; conventional
として		[phrase] as (i.e. in the role of); for (i.e. from the viewpoint of) // [n.] apart from... (used to change the topic) // [n.] even (e.g. "not even a single person") // [n.] thinking that...; trying to...
預ける	あずける	[v1.; vt.] to give into custody; to leave (a child) in the care of; to entrust; to deposit // [n.] to lean on; to put one's weight on
大好物	だいこうぶつ	[n.] (one's) favourite food; (one's) favorite food
偶然	ぐうぜん	[adjn..; no-n.; advn.; n.] (by) chance; unexpectedly; suddenly; accident; fortuity; by coincidence
意識する		
目撃	もくげき	[n.; suru] witnessing; observing; sighting
現象	げんしょう	[n.] phenomenon
字幕	じまく	[n.] subtitles; captioning
内容	ないよう	[n.] subject; contents; matter; substance; detail; import
深い	ふかい	[adj.] deep // [n.] profound // [n.] dense; thick // [n.] close (relationship) // [n.] intense; strong // [n.] late
興味深い	きょうみぶかい	[adj.] very interesting; of great interest
返事する		
括る	くくる	[v5ru.; vt.; us. kana] to tie up; to tie together; to bind; to bundle; to fasten // [us. kana] to hang (oneself) // [us. kana] to summarize; to put (it all) together; to consolidate // [us. kana] to estimate; to expect // [us. kana] to tie-dye // [arch.] to detain; to check; to restrain
弧	こ	[n.] arc
括弧	かっこ,カッコ	[n.; suru; no-n.; us. kana] parentheses; brackets
位	くらい	[adv.; suffix] throne; crown; (nobleman's) seat // [n.] government position; court rank // [n.] social standing; rank; class; echelon; rung // [n.] grade (of quality, etc.); level; tier; rank // [n.] digit (e.g. the tens, the hundreds, etc.); place // [n.] degree; extent; amount
位	い	[cnt.] rank; place (e.g. first place) // [n.] decimal place // [n.] counter for ghosts
置く	おく	[v5ku.; vt.] to put; to place // [n.] to leave (behind) // [n.] to establish (an organization, a facility, a position, etc.); to set up // [n.] to appoint (someone to a certain position); to hire; to employ // [n.] to place (one's trust, one's faith, etc); to bear (in mind etc) // [n.] to put down a tool (e.g. a pen) hence stopping what one is doing with that tool // [n.] to take in (boarders, etc.); to provide lodging in one's house // [n.] to separate spatially or temporally // [v5ku.; auxv.; us. kana] to do something in advance // [us. kana] to leave something in a certain state; to keep something in a certain state
位置	いち	[n.; suru] place; situation; position; location
移る	うつる	[v5ru.; vi.] to move (house); to transfer (department) // [n.] to change the target of interest or concern // [n.] to elapse (passage of time) // [n.] to be permeated by a colour or scent // [us. kana] to be infected; to be contagious; to spread (as in fire)
移動する		
進める	すすめる	[v1.; vt.] to advance; to promote; to hasten
関心	かんしん	[n.] concern; interest
向く	むく	[v5ku.] to face // [n.] to turn toward // [n.] to be suited to; to be fit for
手練	しゅれん,てだれ	[n.; suru] skill; dexterity; master hand
手練	てれん	[n.] means of deceiving another
奇術	きじゅつ	[n.] magic; conjuring; sleight of hand; legerdemain
割ける	さける	[v1.] to be separated; to be divided
以来	いらい	[advn.; tempn.] since; henceforth
既に	すでに,すんでに	[adv.; us. kana] already; too late
終える	おえる	[v1.; vt.; auxv.] to finish // [v1.; vt.] to graduate
元	もと	[n.] origin; source // [n.] base; basis; foundation; root // [n.] cause // [n.] ingredient; material // [n.] (somebody's) side; (somebody's) location // [n.] original cost (or capital, principal, etc.) // [n.] (plant) root; (tree) trunk // [n.] first section of a waka // [cnt.] counter for blades of grass, tree trunks, etc., and for falcons (in falconry) // [n.] handle (chopsticks, brush, etc.); grip
元	げん	[n.] unknown (e.g. in an equation) // [n.] element (of a set) // [n.] yuan (monetary unit of China) // [n.] Yuan dynasty (China)
元	もと	[n.; no-n.; advn.; prefn.] former; ex-; past; one-time
元	ユアン	[n.; us. kana] yuan (monetary unit of China)
不自然	ふしぜん	[adjn..; n.] unnatural; artificial; affected; strained
区切る	くぎる	[v5ru.; vt.] to demarcate; to delimit; to divide (an area); to mark off; to cut off // [n.] to punctuate; to put an end to (e.g. a sentence); to insert pauses or breaks (e.g. when reading aloud)
対	たい	[n.; conj.] opposite; opposition // [n.] versus; vs.; v. // [n.] to (e.g. "winning a game five to three") // [n.] equal footing; equal terms // [n.] against ...; anti-; toward ...; to ...
対	つい	[n.] pair; couple; set // [n.] antithesis // [cnt.] counter for items that come in pairs // [n.] counter for sets (of clothes, small furniture, utensils, etc.)
象	しょう	[n.] phenomenon
象	ぞう,ゾウ	[n.] elephant (Elephantidae spp.)
対象	たいしょう	[n.; no-n.] target; object (of worship, study, etc.); subject (of taxation, etc.)
特別	とくべつ	[adjn..; adv.; n.; no-n.] special
権	けん	[sufn.; n.] right (to do something) // [n.; sufn.] authority; power
権利	けんり	[n.] right; privilege
権力	けんりょく	[n.; no-n.] (political) power; authority; influence
特権	とっけん	[n.; no-n.] privilege; special right
目覚める	めざめる	[v1.; vi.] to wake up; to awake // [n.] to awaken to (instinct, ability, perception, etc.); to become aware of; to become conscious of; to realize // [n.] to come to one's senses
目覚まし	めざまし	[n.; abbr.] alarm clock // [n.] opening one's eyes; keeping one's eyes open // [n.] type of candy given to a child after it wakes up from a nap
目覚まし時計	めざましどけい,めざましとけい	[n.] alarm clock
席	せき	[n.] seat // [n.] location (of a gathering, etc.); place // [n.] position; post
席	むしろ,えん	[n.] woven mat (esp. one made of straw) // [arch.] seat
工場	こうじょう,こうば	[n.] factory; plant; mill; workshop
文字	もじ,もんじ	[n.] letter (of alphabet); character // [no-n.] literal
過激	かげき	[adjn..; n.] extreme; radical
横浜	よこはま	[n.] Yokohama (city)
越す	こす	[v5su.] to cross over (e.g. mountain); to go across // [n.] to go over (e.g. with audience) // [n.] to pass time (e.g. a winter) // [n.] to surpass; to be better than; to exceed // [n.] to move house // [sonkeigo] to go; to come
引っ越す	ひっこす,ひきこす	[v5su.; vi.] to move (house); to change residence
間に合う	まにあう	[v5u.] to be in time for // [n.] to serve (suit, meet) the purpose; to be good enough; to be enough
締め切り	しめきり	[n.] deadline; closing; cut-off; end // [n.] cofferdam // [no-n.; n.] closed (door, window, etc.)
長い間	ながいあいだ	[phrase; tempn.] long time; long interval; for quite some time
差し上げる	さしあげる	[auxv.; v1.; vt.; kenjougo] to give; to offer // [v1.; vt.; kenjougo] to lift up; to hold up; to raise
古文	こぶん	[n.] ancient writing (i.e. Edo-period or older); classical literature // [n.] ancient Chinese character (pre-Qin period)
古文	こもん	[n.; abbr.; obscure] kanji
市場	いちば	[n.] (town) market // [n.] (the) marketplace
市場	しじょう	[n.] (the) market (as a concept)
慣れる	なれる	[v1.; vi.] to get used to; to grow accustomed to; to become familiar with // [n.] to become skilled in; to become experienced at // [n.] to become tame; to become domesticated
少しずつ	すこしずつ,すこしづつ	[adv.] little by little
漸く	ようやく	[adv.; us. kana] finally; at last // [us. kana] barely; narrowly; hardly; only just // [us. kana] gradually; little by little; by degrees
結露	けつろ	[n.; suru] dew; condensation
曇る	くもる	[v5ru.; vi.] to get cloudy; to cloud over; to become overcast // [n.] to cloud up; to fog up; to mist up; to become dim // [n.] to be gloomy; to be clouded (expression); to be downcast // [n.] to look slightly downward (of a noh mask; indicating sadness, grief, etc.)
曇る	くぐもる	[v5ru.; vi.; us. kana] to mumble; to mutter
入場料	にゅうじょうりょう	[n.] entrance fee; admission fee; admission; entrance charge; admission charge
無料	むりょう	[n.; no-n.] free; no charge
関する	かんする	[vsuruspec.] to concern; to be related
に関して	にかんして	[phrase] related to; in relation to
巷	ちまた	[n.; us. kana] the public (esp. much-discussed, much-heard); the street (e.g. "word on the street") // [us. kana] street; district; quarters // [us. kana] location (of a battle, etc.); scene (e.g. of carnage) // [us. kana] divide (e.g. between life and death) // [n.] fork (in a road); crossroads
岐	ちまた	[n.; us. kana] the public (esp. much-discussed, much-heard); the street (e.g. "word on the street") // [us. kana] street; district; quarters // [us. kana] location (of a battle, etc.); scene (e.g. of carnage) // [us. kana] divide (e.g. between life and death) // [n.] fork (in a road); crossroads
腐る	くさる	[v5ru.; vi.] to rot; to go bad; to decay; to spoil; to fester; to decompose; to turn sour (e.g. milk) // [n.] to corrode; to weather; to crumble // [n.] to become useless; to blunt; to weaken (from lack of practice) // [n.] to become depraved; to be degenerate; to be morally bankrupt; to be corrupt // [n.] to be depressed; to be dispirited; to feel discouraged; to feel down // [suffix; v5ru.; us. kana] indicates scorn or disdain for another's action // [v5ru.; vi.; arch.] to lose a bet // [arch.] to be drenched; to become sopping wet
溢れる	あぶれる	[v1.; vi.; us. kana] to fail (in getting a job); to miss out (at fishing, hunting, etc.) // [us. kana] to be left out; to be crowded out
溢れる	あふれる	[v1.; vi.; us. kana] to overflow; to brim over; to flood
溢れる	こぼれる	[v1.; vi.; us. kana] to spill; to fall out of; to overflow // [n.] to peek through; to become visible (although normally not) // [n.] to escape (of a smile, tear, etc.)
非常	ひじょう	[n.; adjn..; no-n.] emergency // [adjn..; no-n.] extraordinary; unusual
中心	ちゅうしん	[n.; no-n.] center; centre; middle; heart; core; focus; pivot; emphasis; balance // [suffix] -centered; -centred; -focussed; -oriented; centered on; focussed on
中心	なかご	[n.] core // [n.] tang (of a sword, etc.) // [n.] middle of a nest of boxes
中心地	ちゅうしんち	[n.] center; centre; metropolis
華やか	はなやか	[adjn..; n.] showy; brilliant; gorgeous; florid; gay
若者	わかもの	[n.; no-n.] young man; young woman; young people; youth; youngsters
人気	にんき	[n.; no-n.; adjn..] popularity; popular feeling; business conditions
人気	ひとけ	[n.] sign of life; human presence // [n.] humanity; humaneness
人気	じんき	[n.] prevailing mood of a locality; emotional climate of a district
辺り	あたり,ほとり	[n.; us. kana] on the bank of; by the side of (e.g. a river, pond) // [n.] (in the) neighbourhood; neighborhood; vicinity; nearby // [sufn.] around (Sunday, last year, etc...) // [n.] for instance
因る	よる	[v5ru.; vi.; us. kana] to be due to; to be caused by // [us. kana] to depend on; to turn on // [us. kana] to be based on; to come from // [us. kana] to be based at (a location, an organization); to be headquartered at
依る	よる	[v5ru.; vi.; us. kana] to be due to; to be caused by // [us. kana] to depend on; to turn on // [us. kana] to be based on; to come from // [us. kana] to be based at (a location, an organization); to be headquartered at
寛大	かんだい	[adjn..; n.] tolerance; liberality; leniency; generosity
寛大さ		
友人	ゆうじん	[n.] friend
付け込む	つけこむ	[v5mu.; vi.] to take advantage of; to impose on // [n.] to make an entry (in an account book)
未来	みらい	[n.; no-n.] the future (usually distant) // [n.] future tense // [n.] the world to come
助詞	じょし	[n.] particle; postposition
お台場	おだいば	[n.] Odaiba (artificial island in Tokyo Bay)
信じる	しんじる	[v1.; vt.] to believe; to believe in; to place trust in; to confide in; to have faith in
帝国	ていこく	[n.] empire // [no-n.] imperial
時代	じだい	[tempn.; n.] period; epoch; era; age // [n.] the times; those days // [n.] oldness; ancientness; antiquity // [abbr.] antique; period piece
王	おう	[n.; sufn.] king; ruler; sovereign; monarch // [n.] tycoon; magnate; champion; master // [abbr.] king (of the senior player)
王	おおきみ,おおぎみ	[n.] emperor; king; prince
冠	かんむり,かん,かむり,かんぶり	[n.] cap (esp. a traditional cap worn with sokutai or ikan clothing); crown; diadem; coronet // [n.] top kanji radical // [n.] first verse of a haikai, etc. // [taru adj.; to-adv.] best; peerless; first
冠	かぶり,こうぶり,かうぶり,かがふり	[n.; arch.] order; rank
革命	かくめい	[n.; no-n.] revolution // [n.] 58th year of the sexagenary cycle (in Onmyōdō)
弾丸	だんがん	[n.] bullet; shot; shell
命中	めいちゅう	[n.; suru] a hit; hitting something that was aimed at
講演	こうえん	[n.; suru] lecture; address; speech
宣伝	せんでん	[n.; suru] publicity; advertisement; advertising; propaganda
糞	ばば	[n.; child; us. kana] pooh-pooh; poop; something dirty
糞	くそ,くっそ,ふん,クソ	[interj.; coll.] bullshit; shit; damn // [n.; coll.] feces; excrement; dung // [n./prenv.] damn; damned; blasted; stupid // [slang] very; extremely // [adv.; slang] a lot
開発	かいはつ,かいほつ	[n.; no-n.; suru] development; exploitation
開発者	かいはつしゃ	[n.] developer
順序	じゅんじょ	[n.] order; sequence; procedure
段階	だんかい	[n.] grade; level; stage; class; phase; steps; order; gradation
段階	きざはし,きだはし,はし	[n.] stairs // [n.] stairs at the front of a noh stage
計画	けいかく	[n.; suru] plan; project; schedule; scheme; program; programme
風景	ふうけい	[n.; no-n.] scenery; scene; landscape; view; sight // [n.] scene (e.g. of a crime)
穏やか	おだやか	[adjn..; n.] calm; gentle; quiet
消臭剤	しょうしゅうざい	[n.] deodorant; deodorizer; air freshener
年上	としうえ	[n.; no-n.] older; senior
昼寝	ひるね	[n.; suru] nap (afternoon); siesta
付き合う	つきあう	[v5u.; vi.] to associate with; to keep company with; to go out with; to go steady with; to get on with // [n.] to go along with; to follow someone's lead; to accompany someone; to compromise
見つかる	みつかる	[v5ru.; vi.] to be found; to be discovered
お蔭	おかげ	[n.; us. kana] grace (of God); benevolence (of Buddha); blessing // [us. kana] assistance; help; aid // [us. kana] effects; influence
只	ただ,タダ	[no-n.; n.; us. kana] ordinary; common; usual // [us. kana] free of charge // [n.] unaffected; as is; safe // [adv.] only; merely; just; simply // [conj.] but; however; nevertheless
周り	まわり	[n.] circumference; girth // [n.] surroundings; neighbourhood; neighborhood; vicinity
不便	ふべん	[adjn..; n.] inconvenience; inexpediency; unhandiness
不便	ふびん	[adjn..; n.] pity; compassion
再生	さいせい	[n.; suru; no-n.] resuscitation; regeneration; restoration to life // [n.] reformation; rehabilitation // [n.] playback; regeneration (sound, etc.); view (of a video clip) // [n.] reclamation; recovery // [n.] rebirth; reincarnation
見出す	みいだす,みだす	[v5su.; vt.] to find out; to discover; to notice; to detect // [n.] to select; to pick out // [n.] to look out (from the inside) // [n.] to be wide-eyed (in surprise, anger, etc.)
聴解	ちょうかい	[n.] listening comprehension
読解	どっかい	[n.; suru] reading comprehension
受験	じゅけん	[n.; suru] taking an examination (esp. school and university entrance)
受かる	うかる	[v5ru.; vi.] to pass (examination)
専攻	せんこう	[n.; suru; no-n.] major subject; special study
競争	きょうそう	[n.; no-n.] competition; contest // [suru] to compete
講演会	こうえんかい	[n.] lecture (esp. special engagement by noted speaker); lecture meeting (event with one or more lectures)
蒸れる	むれる	[v1.; vi.] to be stuffy; to moulder; to molder
群れる	むれる	[v1.; vi.] to crowd; to flock; to swarm
蒸す	ふかす	[v5su.; vt.] to steam (food)
蒸す	むす	[v5su.; vt.] to steam (food, towel, etc.) // [v5su.; vi.] to be hot and humid; to be sultry
原文	げんぶん	[n.; no-n.] the text; original
半分	はんぶん	[advn.; n.] half
半分	はんぷん	[n.] half minute
思いっきり	おもいきり,おもいっきり	[adv.; n.] with all one's strength; with all one's heart; resignation; resolution
検定	けんてい	[n.; suru] official certification; approval; inspection // [abbr.] certification examination; licensing examination; licensure examination
羨ましい	うらやましい	[adj.; us. kana] envious (feeling, etc.); jealous // [us. kana] enviable (position, etc.)
類い	たぐい	[n.; us. kana] kind; sort; type // [n.] equal; match; peer
すら		[part.] even; if only; if just; as long as; the only thing needed
通じる	つうじる	[v1.; vi.] to be open (to traffic); to lead to; to communicate (with) // [n.] to flow (liquid, current); to pass; to get through to // [n.] to be understood; to be comprehended // [n.] to be honored; to be good // [n.] to be well versed in; to be well-informed // [n.] to communicate clandestinely; to keep in touch (e.g. with the enemy) // [n.] to form a liaison; to be intimate // [n.] to spread widely; to disseminate
合否	ごうひ	[n.] success or failure; result
受け止める	うけとめる	[v1.; vt.] to catch; to stop the blow // [n.] to react to; to take (advice, etc.); to accept; to come to grips with
合点	がてん,がってん	[n.; suru] consent; assent; understanding; agreement; comprehension; grasp
過去	かこ	[advn.; n.] the past; bygone days; the previous // [n.] a past (i.e. a personal history one would prefer remained secret); one's past // [n.] past (tense); preterit; preterite // [n.] previous life
遡る	さかのぼる	[v5ru.; vi.; us. kana] to go upstream // [us. kana] to go back (in time, to origin); to date back to; to trace back to; to make retroactive
参考	さんこう	[n.; no-n.] reference; consultation
一部	いちぶ	[advn.; n.] one part; one portion; one section; some // [n.] one copy (e.g. of a document)
抜き出す	ぬきだす	[v5su.; vt.] to pick out; to single out; to select // [n.] to extract; to draw out; to pull out; to distill
表	おもて	[n.] surface // [n.] face (i.e. the visible side of an object) // [n.] front (of a building, etc.); obverse side (i.e. "head") of a coin // [n.] outside; exterior // [n.] appearance // [n.] public // [n.] first half (of an inning); top (of an inning) // [n.] cover (for tatami mats, etc.) // [n.] foreground
表	ひょう	[n.; sufn.] table (e.g. Table 1); chart; list
表す	あらわす	[v5su.; vt.] to represent; to signify; to stand for // [n.] to reveal; to show; to display // [n.] to express // [n.] to make widely known
表す	ひょうす	[v5su.; vt.] to express; to show
馴染み	なじみ	[n.] intimacy; friendship; familiarity
遭遇	そうぐう	[n.; suru] encounter; being confronted with (e.g. difficulty); meeting with (e.g. accident)
まだまだ		[adv.; us. kana] still some way to go before the goal; still more to come; much more; not yet
諸国	しょこく	[n.; sufn.] various countries; various regions; various provinces
恐ろしい	おそろしい	[adj.] terrible; dreadful; terrifying; frightening; frightened // [n.] surprising; startling; tremendous; amazing
生命	せいめい	[n.] life; existence
危険	きけん	[n.; adjn..] danger; peril; hazard // [n.] risk
向かう	むかう	[v5u.; vi.] to face // [n.] to go towards
他国	たこく	[n.; suru] foreign country; other country // [n.] another province // [n.] strange land; alien land
通過	つうか	[n.; suru] passage through (e.g. train skipping a station); transit // [n.] passing (e.g. exam, bill through parliament)
入国	にゅうこく,にゅうごく	[n.; suru] entry to a country
許す	ゆるす	[v5su.; vt.] to permit; to allow; to approve; to tolerate // [n.] to exempt (from fine); to excuse (from); to pardon; to forgive; to release; to let off // [n.] to confide in // [n.] to give up; to yield
行動	こうどう	[n.; suru; no-n.] action; conduct; behaviour; behavior; mobilization; mobilisation
変わる	かわる	[v5ru.; vi.] to change; to be transformed; to be altered; to vary // [n.] to move to // [n.] to be different; to be uncommon; to be unusual
変る	かわる	[v5ru.; vi.] to change; to be transformed; to be altered; to vary // [n.] to move to // [n.] to be different; to be uncommon; to be unusual
鈍い	おそい	[adj.] slow // [n.] late (e.g. "late at night") // [n.] too late // [arch.] dull; stupid
鈍い	にぶい,のろい	[adj.] dull (e.g. a knife); blunt // [n.] thickheaded; obtuse; stupid // [n.] dull (sound, color, etc.); dim (light) // [n.] slow; sluggish; inert; lethargic // [n.] indulgent (esp. to the opposite sex); doting
字	あざ	[n.; suffix] section of village
字	じ	[n.] character (i.e. kanji) // [n.] hand-writing; penmanship // [n.] the ... word (i.e. "the L word" = "love")
字	あざな	[n.] Chinese courtesy name (name formerly given to adult Chinese men, used in place of their given name in formal situations) // [n.] nickname // [n.] section of a village
世界中	せかいじゅう,せかいちゅう	[n.; no-n.] around the world; throughout the world
本格	ほんかく	[n.] original method or procedure // [n./prenv.] serious; orthodox; classical; genuine
由来	ゆらい	[adv.; n.; suru] origin; source; history; derivation; reason; destiny
綴り	つづり	[n.] spelling // [n.] orthography // [n.] patching; binding
前回	ぜんかい	[advn.; tempn.] previous time; last time; previous installment; previous instalment; previous session
疑問	ぎもん	[n.] question; problem; doubt; guess
拝見	はいけん	[n.; suru; kenjougo; teineigo] seeing; look at
辿る	たどる	[v5ru.; vt.; us. kana] to follow (road); to pursue (course); to follow up; to follow (hyperlink)
勤務	きんむ	[n.; suru] service; duty; work
今後	こんご	[advn.; tempn.] from now on; hereafter
頻繁	ひんぱん	[adjn..] frequent; incessant
聞き手	ききて	[n.] hearer; listener; audience // [n.] interviewer; questioner
打ち明ける	うちあける	[v1.; vt.] to be frank; to speak one's mind; to open one's heart
打ち明ける	ぶちあける	[v1.; vt.] to forcefully open up a hole (in a wall, etc.) // [n.] to speak frankly, holding nothing back // [n.] to throw out everything inside
繋がり	つながり	[n.; us. kana] connection; link; relationship
纏める	まとめる	[v1.; vt.; us. kana] to collect; to put (it all) together; to integrate; to consolidate; to unify // [us. kana] to summarize; to aggregate // [us. kana] to bring to a conclusion; to finalize; to settle; to put in order // [us. kana] to establish; to decide
それはさておき		[phrase] apart from that; to return to the topic; enough of that
挟む	はさむ	[v5mu.; vt.] to interpose; to hold between; to insert // [n.] to be on either side (e.g. road); to be across (e.g. street, river); to be beyond
挟む	さしはさむ	[v5mu.; vt.] to insert // [n.] to interrupt; to slip in a word // [n.] to harbor (e.g. doubts); to harbour; to entertain (e.g. a theory)
同様	どうよう	[no-n.; adjn..; n.] identical; equal to; same (kind); like; similarity
全体	ぜんたい	[advn.; tempn.] whole; entirety; whatever (is the matter)
音声	おんせい,おんじょう	[n.] voice; (the concept of) sound
帰宅	きたく	[n.; suru] returning home
気付き	きづき	[n.] awareness; realization
発表	はっぴょう	[n.; suru] announcement; publication; presenting; statement; communique; making known; breaking (news story); expressing (one's opinion); releasing; unveiling
明らか	あきらか	[adjn..; n.] obvious; evident; clear; plain
延々	えんえん	[taru adj.; to-adv.] forever; endlessly; on and on // [n.] meandering; wandering; winding; sinuous; serpentine; zigzagging
保存	ほぞん	[n.; suru] preservation; conservation; storage; saving (e.g. to disk); maintenance
師走	しわす,しはす	[n.] twelfth month (esp. of the lunar calendar); December
代名詞	だいめいし	[n.] pronoun // [n.] synonym; classic example; pattern; byword; representative
夜勤	やきん	[n.] night shift
心境	しんきょう	[n.] mental state
生きる	いきる	[v1.; vi.] to live; to exist // [n.] to make a living; to subsist // [n.] to be in effect; to be in use; to function // [n.] to come to life; to be enlivened // [n.] to be safe (in baseball, go, etc.)
生きていかれない	いきていかれない	[phrase] can't survive (without ...)
～何て		
見付ける	みつける,みっける	[v1.; vt.] to discover; to find (e.g. an error in a book); to come across; to detect; to spot // [n.] to locate; to find (e.g. something missing); to find fault // [n.] to be used to seeing; to be familiar with
見付かる	みつかる	[v5ru.; vi.] to be found; to be discovered
悟る	さとる	[v5ru.; vt.] to perceive; to sense; to discern // [n.] to understand; to comprehend; to realize // [n.] to attain enlightenment
曲名	きょくめい	[n.] song title; song titles
歌手	かしゅ	[n.] singer
作詞	さくし	[n.; suru] (writing) song lyrics
作曲	さっきょく	[n.; suru] composition; setting (of music)
本年	ほんねん	[advn.; tempn.] this (current) year
新年	しんねん	[advn.; tempn.] New Year
半年	はんとし,はんねん	[advn.; tempn.] half year
年内	ねんない	[n.] by the end of the year
難民	なんみん	[n.] refugee; displaced person // [slang] person unable to achieve some goal (marriage, shopping, etc.)
普段	ふだん	[no-n.] usual; habitual; ordinary; everyday; always
語学	ごがく	[n.] language study
休憩	きゅうけい	[n.; suru] rest; break; recess; intermission
数日	すうじつ	[n.] few days
以前	いぜん	[advn.; tempn.] ago; since; before; previous
在宅	ざいたく	[n.; suru; no-n.] being in; being at home
転職	てんしょく	[n.; suru] change of occupation
機	はた	[n.] loom
機	き	[n.] chance; opportunity // [n.; sufn.] machine // [n.] aircraft // [cnt.] counter for aircraft // [n.] counter for remaining lives (in video games)
形	かたち,よう	[n.] form; shape; figure // [n.] visage
形	かた,がた	[n.; suffix] shape; appearance // [n.] collateral // [n.] obverse of an old "zeni" coin
形	なり	[n.; no-n.; us. kana] style; way; shape; form; appearance; state
形	けい	[suffix] form; tense // [n.; abbr.] adjective; i-adjective (in Japanese)
性能	せいのう	[n.] ability; performance; efficiency
近々	ちかぢか,きんきん	[advn.; tempn.] soon; nearness; before long
開催	かいさい	[n.; suru] holding a meeting; open an exhibition
都市	とし	[n.; no-n.] town; city; municipal; urban
立候補	りっこうほ	[n.; suru] announcing candidacy; becoming a candidate; bidding (to host an event e.g. Olympics, World Cup)
騒ぎ出す	さわぎだす	[v5su.] to start making a noise; to start making an uproar; to go beserk
知識	ちしき	[n.] knowledge; information
中々	なかなか	[adv.; adjn..; us. kana] very; considerably; easily; readily; fairly; quite; highly; rather // [adv.; us. kana] by no means (with negative verb); not readily // [n.] middle; half-way point // [no-n.; us. kana] excellent; wonderful; very good
参る	まいる	[v5ru.; vi.; kenjougo; us. kana] to go; to come; to call // [n.] to be defeated; to collapse; to die // [n.] to be annoyed; to be nonplussed // [n.] to be madly in love // [n.] to visit (shrine, grave)
海岸	かいがん	[n.; no-n.] coast; beach
写る	うつる	[v5ru.; vi.] to be photographed; to be projected
載る	のる	[v5ru.; vi.] to be placed on; to be set on; to be piled on; to be loaded on // [n.] to appear (in print); to be mentioned; to be recorded; to be reported; to be given
予め	あらかじめ	[adv.; n./prenv.; us. kana] beforehand; in advance; previously
下調べ	したしらべ	[n.; suru] preliminary investigation; preparation
姿	すがた	[n.] figure; form; shape // [n.] appearance; dress; guise // [n.] state; condition; picture; image // [n.] form (of a waka) // [sufn.] dressed in ...; wearing ...
見かける	みかける	[v1.; vt.] to (happen to) see; to notice; to catch sight of
乗せる	のせる	[v1.; vt.] to place on (something) // [n.] to give (someone) a ride; to give a lift; to pick up; to help on board // [n.] to load (luggage); to carry; to take on board // [n.] to send out (on the airwaves, etc.) // [n.] to deceive; to take for a ride // [n.] to (sing) along with (musical accompaniment) // [n.] to let (someone) take part // [n.] to excite (someone) // [n.] to publish (an article); to run (an ad)
訳す	やくす	[v5su.; vt.] to translate; to interpret
不思議	ふしぎ	[adjn..; n.] wonder; miracle; strange; mystery; marvel; curiosity
感覚	かんかく	[n.; suru] sense; sensation; feeling; intuition
性	さが,なりくせ	[n.] one's nature; one's destiny // [n.] custom; tradition; habit
性	せい	[n.] nature (of a person) // [n.] sex // [n.] gender // [suffix] -ty; -ity; -ness; -cy
性	しょう	[n.; sufn.] nature (of a person or thing) // [n.] that which does not change according to external influences
胃腸	いちょう	[adjn..; n.; no-n.] stomach; gastrointestine
炎	ほのお,ほむら	[n.] flame; blaze // [n.] flames (of intense emotion, e.g. love, jealousy, anger); passion
炎	えん	[suffix] -itis (indicating an inflammatory disease)
