大事	だいじ, おおごと	important; valuable; serious matter
予め	あらかじめ	in advance
下調べ	したしらべ	preliminary investigation; preparation
姿	すがた	figure; appearance
見かける	みかける	to (happen to) see; to notice; to catch sight of
乗せる	のせる	to place; to put on; to give someone a ride
訳す	やくす	to translate; to interpret
不思議	ふしぎ	mystery; wonder; strange
感覚	かんかく	sense; sensation
性	せい	sex; nature
胃腸	いちょう	stomach and intestines
炎	ほのお	flame; blaze
当たる	あたる	to hit; to strike
熱意	ねつい	zeal; enthusiasm
下がる	さがる	come down; hang down; fall
比べる	くらべる	compare; contrast
英文	えいぶん	English; English writing
自問	じもん	asking oneself
進歩	しんぽ	progress; advancement
強化	きょうか	strengthening
国会	こっかい	National Diet; parliament; congress
議事堂	ぎじどう	Diet building
古城	こじょう	old castle; old fortress
旧跡	ふるあと, きゅうせき	historic spot; historic remains; ruins
河川	かせん	rivers
地元	じもと	home area; home town; local
河口	かこう	river mouth; estuary
三脚	さんきゃく	tripod; three legs
積む	つむ	pile up; accumulate
走り回る	はしりまわる	to run around
挿し絵	さしえ	(book) illustration
流れる	ながれる	to flow; to pass; to drift away
沿い	ぞい	along
異国	いこく	foreign country
情緒	じょうちょ, じょうしょ	emotion; feeling; spirit
たっぷり	たっぷり	fully; amply
純粋	じゅんすい	pure; unmixed; true; genuine
世紀	せいき	century
番外	ばんがい	extra
人妻	ひとづま	married woman; another's wife
欧州	おうしゅう	Europe
魅了	みりょう	fascination
奥様	おくさま	married woman; someone's wife
国民	こくみん	the people; nation
長々	ながなが	long; drawn-out; very long
主人公	しゅじんこう	main character; protagonist; head of household
独身	どくしん	single; unmarried
毒	どく	poison
毒性	どくせい	toxicity; toxic; virulence; virulent
当てはまる	あてはまる	to apply (a rule); to be applicable; to come under (a category); to fulfill
手にする	てにする	to hold (in one's hand); to take (into one's hand); to own; to obtain
うんざり	うんざり	tedious; boring; being fed up with
意志	いし	will; volition
堕落	だらく	depravity; corruption; degradation
自堕落	じだらく	depravity; self-indulgence
人間	にんげん	human being; person; man; mankind; humankind; personality
褒める	ほめる	to praise; to commend
主語	しゅご	subject (grammar)
目的語	もくてきご	object
一般	いっぱん	general; common
一般論	いっぱんろん	prevailing view; common opinion; general consideration
省略	しょうりゃく	omission; abbreviation
歯切れ	はぎれ	the feel when biting; manner of enunciation
嫌悪	けんお	disgust; hate; repugnance
自己嫌悪	じこけんお	self-hatred; self-abhorrence; self-loathing
陥る	おちいる	to fall; to trap; to cave in; to collapse
固い	かたい	stiff; tight; hard; firm
硬い	かたい	hard; solid; stiff; strong; safe; stubborn
飽きる	あきる	to be fed up
適切	てきせつ	appropriate; adequate
直感	ちょっかん	intuition; instinct; insight; hunch
最低	さいてい	least; lowest; disgusting; yuck!
文脈	ぶんみゃく	context
上記	じょうき	above-mentioned; above-named; above
略して	りゃくして	for short
早春	そうしゅん	early spring
反発	はんぱつ	opposition; rebellion; backlash; rebound
別れる	わかれる	to be divided; to separate;
彼氏	かれし	boyfriend
洋介	ようすけ	Yousuke (male name)
智子	ともこ	Tomoko (name)
求人	きゅうじん	recruiting
面接	めんせつ	interview
筆記	ひっき	(taking) notes; copying
審査	しんさ	judging; inspection; examination; investigation
研修	けんしゅう	training
経る	へる	to pass; to elapse
模擬	もぎ	imitation; sham; mock; simulation
求人広告	きゅうじんこうこく	help-wanted advertisement
筆記試験	ひっきしけん	written examination
人類	じんるい	mankind; humanity
規制	きせい	regulation; control
と共に	とともに	together with
新着	しんちゃく	new arrivals; new acquisitions
かなり	かなり	fairly, rather
引き換え	ひきかえ	exchange; conversion; on the contrary; on the other hand
引き替え	ひきかえ	exchange; conversion; on the contrary; on the other hand
引き返す	ひきかえす	turn back; retrace one's steps
避ける	さける	avoid; evade
無理矢理	むりやり	forcibly; against one's will
徹夜	てつや	staying up all night
成るべく	なるべく	as ... as possible; if possible
落書き	らくがき	graffiti
壊れる	こわれる	to be broken; to break
頂戴	ちょうだい	receiving; reception; getting; being given; getting<br/>eating; drinking; having<br/>please; please do for me (feminine, after -te form)
目次	もくじ	table of contents
概要	がいよう	outline; summary; abridgment; synopsis
版	はん	edition; version
集	しゅう	collection; compilation
作成	さくせい	framing; drawing up; creating
初旬	しょじゅん	first 10 days of the month
認定	にんてい	authorization; authorisation; acknowledgment; acknowledgement; certification
目安	めやす	criterion; standard; reference; approximation
級	きゅう	grade; class
旧	きゅう	old; former, ex-
日常的	にちじょうてき	day-to-day; common; ordinary
科目	かもく	subject; curriculum; course
語彙	ごい	vocabulary; lexicon; lexis; terminology
判定	はんてい	judgement; judgment; decision; award; verdict; determination
お知らせ	おしらせ	notice; notification
案内	あんない	information; leading; to guide
日時	にちじ	date; time
例外	れいがい	exception
場面	ばめん	scene; situation
程度	ていど	degree; extent
独立	どくりつ	independence; self-reliance
行政	ぎょうせい	administration
法人	ほうじん	corporate body; corporation; (legal) person; (juridical) person
祭	まつり	festival; feast
団	だん	body; group; party; company; troupe
教育	きょういく	education
独立行政法人	どくりつぎょうせいほうじん	independent administrative corporation (institution, agency)
基金	ききん	fund; foundation
交流	こうりゅう	(cultural) exchange; interchange; interaction; (inter-) mingling; (social, etc.)
国際交流基金	こくさいこうりゅうききん	Japan Foundation
協会	きょうかい	association
米印	こめじるし	rice symbol; note (supplementary information) symbol
天文学	てんもんがく	astronomy
宇宙開発	うちゅうかいはつ	space development
歓迎	かんげい	welcome; reception
大歓迎	だいかんげい	warm welcome
接尾辞	せつびじ	suffix
硫黄	いおう	sulfur (S); sulphur
飼う	かう	to keep (a pet or other animal); to raise; to have; to own; to feed
一寸	ちょっと, ちょと	just a minute; short time; just a little; somewhat; easily; readily; rather
程	ほど	extent; limit
残響	ざんきょう	reverberation; echo
残業	ざんぎょう	overtime
吹き替え	ふきかえ	dubbing; stand-in; dummy
分割	ぶんかつ	partition, division, separation, segmenting, splitting
奴	やつ	fellow; guy; chap; thing; object; (derogatory or familiar) he; she; him; her
さっさと	さっさと	quickly
込む	こむ	to be crowded; to be congested
一体	いったい	what on earth; what the…
俺	おれ	I; me (rough or arrogant-sounding first-person pronoun)
怠ける	なまける	to be idle; to slacken; to neglect (e.g. ones work)
空く	あく	to become available or vacant
空く	すく	to be empty
長時間	ちょうじかん	long period of time; long playing
何回	なんかい	how many times?
感染	かんせん	infection; contagion
感染する	かんせんする	to infect
休日	きゅうじつ	holiday; day off
遣り取り	やりとり	giving and taking; exchange (of letters); arguing back and forth
他人行儀	たにんぎょうぎ	reserved manners
祖父母	そふぼ	grandparents
目上	めうえ	one's superiors; one's elders
物理	ぶつり	physics; natural law
精神	せいしん	mind; spirit
距離	きょり	distance; interval
暫く	しばらく	awhile; long time; for the time being
親しい	したしい	intimate; close (e.g. friend)
追伸	ついしん	P.S.
間柄	あいだがら	relation(ship)
語尾	ごび	(inflected) end of a word
親しみ	したしみ	intimacy; familiarity
ユーザ名	ユーザめい	username
変更	へんこう	alteration; change
変更する	へんこうする	to change
気楽	きらく	at ease; comfortable
気遣い	きづかい	worry
社員	しゃいん	staff member; employee
山道	さんどう, やまみち, せんどう	mountain road; mountain trail
日食	にっしょく	solar eclipse
越える	こえる	to go over; to go across; to go beyond; to exceed
超える	こえる	to exceed; surpass
不可能	ふかのう	impossible
あらゆる	あらゆる	all; every (possible)
有らゆる	あらゆる	all; every
含む	ふくむ	to contain; to comprise; to include
領収証	りょうしゅうしょう	receipt
限界	げんかい	boundary; limit
勝つ	かつ	to win
個人	こじん	individual
彼奴	あいつ, きゃつ, かやつ	he; she; that guy
小説	しょうせつ	novel; story
人工知能	じんこうちのう	AI; artificial intelligence
研究	けんきゅう	research; study
物語	ものがたり	tale; story
文学賞	ぶんがくしょう	literary prize
人工	じんこう	artificial; man-made
爆発	ばくはつ	explosion; eruption
国際空港	こくさいくうこう	international airport
亡い	ない	dead
亡くなる	なくなる	to pass away; to die
爆弾	ばくだん	bomb
関係	かんけい	relation; connection
原発	げんぱつ	nuclear power plant; nuclear power supply
原子力	げんしりょく	atomic energy; nuclear power
発電所	はつでんしょ	power plant; generating station
原子力発電所	げんしりょくはつでんしょ	nuclear power plant; nuclear power station
放射	ほうしゃ	radiation; emission
放射性	ほうしゃせい	radioactive
物質	ぶっしつ	matter; substance
放射性物質	ほうしゃせいぶっしつ	radioactive material
放射線	ほうしゃせん	radiation
金属	きんぞく	metal
幅	はば	width; breadth
資料	しりょう	materials; data
家庭教師	かていきょうし	tutor; coach
惑星	わくせい	planet
岩石	がんせき	rock
ガス惑星	ガスわくせい	gas planet
岩石惑星	がんせきわくせい	rocky planet
状	じょう	shape; state; letter; correspondence
ガス状惑星	ガスじょうわくせい	gas giant (e.g. Jupiter, Saturn); gas planet
知り合う	しりあう	get acquainted with
繰り返し	くりかえし	repetition; reiteration; iteration; cycle; repeatedly
寝れる	ねれる	to be able to sleep
切っ掛け	きっかけ	chance; cue; impetus
切っ掛けに	きっかけに	with ... as a start; taking advantage of
曲目	きょくもく	program; programme; musical selection; tunes
気が進まない	きがすすまない	reluctant to; not inclined to; disinclined; unwilling
ぎりぎり	ぎりぎり	just in time; barely
要塞	ようさい	fortress; stronghold
一晩中	ひとばんじゅう	all night long; all through the night
綴り方	つづりかた	(way of) literary composition; (way of) spelling; school composition
魂	たましい	a soul; a spirit
贅沢	ぜいたく	luxury; extravagance
唯一	ゆいいつ	only; sole; unique
抱っこ	だっこ	(child's) hug; carrying a baby in one's arms; carrying a pet in one's arms
抱っこする	だっこする	pick (the baby) up
紐	ひも	laces; string; rope
辞典	じてん	dictionary
辞める	やめる	to resign; to retire
印象	いんしょう	impression
総まとめ	そうまとめ	Roundup
纏め	まとめ	summary
総人口	そうじんこう	total population
割り込む	わりこむ	cut in
邪魔	じゃま	obstacle; interference; in the way
邪魔する	じゃまする	to obstruct
表面	ひょうめん	surface; appearance
着せ替える	きせかえる	to change clothes on a doll
着せ替え人形	きせかえにんぎょう	dress-up doll
遺産	いさん	inheritance; legacy; estate
世界遺産	せかいいさん	world heritage
文化的	ぶんかてき	cultural
届ける	とどける	to deliver; to give notice
解凍	かいとう	thaw; defrosting; decompression (e.g. of a file); unpacking; extracting
文頭	ぶんとう	start of a sentence, phrase, etc.
冗長	じょうちょう	tedious; verbose; prolix; redundancy
伝える	つたえる	to convey; to report; to transmit; to communicate; to tell
省く	はぶく	to omit; to dispense with
対応	たいおう	interaction; correspondence; coping with; dealing with; support; response; reception; equivalence;<br/>software support; ability of a computer system to run specific software; compatibility
直接	ちょくせつ	direct; immediate; personal; firsthand; directly
迷惑	めいわく	trouble; bother; annoyance
映じる	えいじる	to be reflected (in); to be mirrored (in); to impress (a person)
反映	はんえい	reflection
見合う	みあう	to exchange glances; to correspond; to counterbalance
弾く	ひく	play (guitar, piano)
実際に	じっさいに	really; indeed; truly
逆さ	さかさ	reverse; inversion
映像	えいぞう	reflection; image; picture (e.g. on a television); shot; clip
汚れる	よごれる	to become dirty
汚す	よごす	pollute; make dirty; to disgrace
駄洒落	だじゃれ	pun
鼠取り	ねずみとり	mousetrap; rattrap; speed trap; rat poison
惜しい	おしい	disappointing; deserving better; almost but not quite; precious
愛	あい	love
平和	へいわ	peace; harmony
齎す	もたらす	bring about; lead to
そっくり	そっくり	identical; look alike
受け取る	うけとる	to receive; to accept; to interpret; to understand
輝く	かがやく	to shine brilliantly; to glitter
光る	ひかる	to shine; emit light
お洒落	おしゃれ	dressing up smartly; trendy
変身	へんしん	change oneself
任せる	まかせる	entrust to; leave it to
透明	とうめい	transparent
色づく	いろづく	to change color; to change colour
伝説	でんせつ	legend; folk tale
注入	ちゅうにゅう	pouring; injection
七色	なないろ, しちしょく	the seven prismatic colors (colours)
きらきら	きらきら	shining; sparkling
哀しみ	かなしみ	sadness; sorrow; grief
証拠	しょうこ	proof; evidence
独り	ひとり	one person; alone; unmarried
最強	さいきょう	strongest
恋	こい	(romantic) love; tender passion
起き上がる	おきあがる	get up; rise
画質	がしつ	image quality (film, video, etc.)
向け	むけ	intended for ... ; oriented towards ... ; aimed at ...
上旬	じょうじゅん	beginning of the month
中旬	ちゅうじゅん	middle ten days of a month
下旬	げじゅん	month (last third of)
第	だい	ordinal
第三者	だいさんしゃ	third person, outsider, disinterested person
祝日	しゅくじつ	national holiday
ただし	ただし	but; however
尚	なお	still; in addition
女子	じょし	woman; girl
男子	だんし	boy; young man
中央	ちゅうおう	center
中央図書館	ちゅうおうとしょかん	central library
問い	とい	question; inquiry
開館	かいかん	opening a hall for that day's business (museum, library, such like buildings)
開館時間	かいかんじかん	hours of being open
休館日	きゅうかんび	day(s) a hall is closed
児童室	じどうしつ	children's room
使用	しよう	usage; use; application; employment; utilization; utilisation
重なる	かさなる	be piled up; come one after another
工事	こうじ	construction
電気工事	でんきこうじ	electrical work
臨時	りんじ	temporary; provisional
利用	りよう	utilization; usage
翌日	よくじつ	the following day
閉館	へいかん	closing of a building
独学	どくがく	self-education; self-instruction; self-study
抹茶	まっちゃ	powdered green tea for ceremonies
匂い	におい	smell; odor
匂う	におう	smell (pleasant)
主義	しゅぎ	principle; -ism
躾	しつけ	home discipline; training; upbringing; breeding
仕付け	しつけ	rice planting; tacking; basting; discipline
仕付ける	しつける	to be used to a job; to begin to do; to baste; to tack; to plant
方向	ほうこう	direction; bearing; way; course (e.g. of action)
四つ角	よつかど	street corner; intersection
斜め	ななめ	diagonal; slant
手前	てまえ	in front; this side
有料駐車場	ゆうりょうちゅうしゃじょう	toll parking lot; toll car park
突き当たり	つきあたり	end (e.g. of street)
前方	ぜんぽう	front
後方	こうほう	back; rear
右折する	うせつする	to make a right turn
左折する	させつする	make a left turn; turn (to the) left
徒歩	とほ	walking; going on foot
面する	めんする	to face; look on to
一方通行	いっぽうつうこう	one-way traffic
会話文	かいわぶん	conversational sentence; dialog
会場	かいじょう	assembly hall; meeting place
説明会	せつめいかい	information session
案内図	あんないず	guide map
地下	ちか	basement; underground
軒	けん	counter for houses
本音	ほんね	real intention; motive
建て前	たてまえ	a front; polite face
花粉	かふん	pollen
症	しょう	illness
苦しむ	くるしむ	to suffer; to be troubled
鼻水	はなみず	nasal mucus; dripping nose
嚏	くしゃみ	sneeze
日数	にっすう	number of days
辛い	づらい	hard to; difficult to
幸い	さいわい	happiness; good fortune
花粉症	かふんしょう	pollen allergy
酷い	ひどい	cruel; severe
頭痛	ずつう	headache
どうぞお大事に。	どうぞおだいじに。	Please take care of yourself.
時差ぼけ	じさぼけ	jet-lag
との事	とのこと	I'm told; indicates someone has heard the information from someone
制汗剤	せいかんざい	deodorant
解像度	かいぞうど	resolution (e.g. display, dpi); granularity (e.g. timer)
申請	しんせい	application; petition
承認	しょうにん	approval; recognition
打者	だしゃ	batter (baseball)
担ぐ	かつぐ	to carry on one's shoulder; to deceive
担当する	たんとうする	be responsible for
接する	せっする	come in contact; adjoin
接続	せつぞく	connection; joining
支える	ささえる	to support; to sustain
技	わざ,ぎ	technique; skill; art; feat
特技	とくぎ	special talent/ability; specialty
技術力	ぎじゅつりょく	technological strength
育てる	そだてる	to bring up; to raise; to breed; to train
育つ	そだつ	be brought up; grow
売り切れ	うりきれ	sellout; sold out
大騒ぎ	おおさわぎ	making great noise (yelling, cheering and laughing)
投手	とうしゅ	(baseball) pitcher
探る	さぐる	feel about (for something); investigate
探検	たんけん	exploration; expedition
復習	ふくしゅう	review; revision
値上がり	ねあがり	price rise
授業料	じゅぎょうりょう	tuition fee
望む	のぞむ	to desire; to hope
望み	のぞみ	desire; hope
修正	しゅうせい	correction; revision
新製品	しんせいひん	new product
発売	はつばい	put on the market
並べ替える	ならべかえる	to rearrange
曲	きょく	song; melody; tune; composition; piece of music
蓋	ふた	lid; cover; cap
動作	どうさ	movements; actions
噛む	かむ	to bite; to chew
吠える	ほえる	to bark; to bay
人口	じんこう	population
世話	せわ	looking after; help; aid; assistance
金魚	きんぎょ	goldfish
図	ず	figure; map
輸出	ゆしゅつ	export
安売り	やすうり	bargain sale
努力	どりょく	endeavor; effort
水分	すいぶん	moisture
愛情	あいじょう	love; affection
叱る	しかる	to scold; to tell off; to reprimand
楽ちん	らくちん	pleasant; easy-going; easy life
健康	けんこう	health
保証	ほしょう	guarantee; security; assurance; pledge; warranty
解決	かいけつ	solution; settlement; resolution
渋滞	じゅうたい	congestion (e.g. traffic); delay; stagnation; traffic jam
首都圏	しゅとけん	the capital city (often Tokyo) area (typically within 50 km of city's centre) (center)
状況	じょうきょう	state of affairs; circumstances; situation
現在	げんざい	the present; present time
過ち	あやまち	fault; mistake
農業	のうぎょう	agriculture
論文	ろんぶん	thesis; paper
速報	そくほう	news flash; prompt report; bulletin; quick announcement
震度	しんど	seismic intensity
克服	こくふく	subjugation; conquest; victory
屋根	やね	roof
話し合う	はなしあう	to discuss; to talk over
話し合い	はなしあい	talk; discussion
被害	ひがい	damage; harm
市民	しみん	citizen; townspeople
被害者	ひがいしゃ	victim; injured party; sufferer
一言	ひとこと	a word; few words; brief comment
飛ばす	とばす	to fly; to shoot; to skip over; to omit
広がる	ひろがる	to spread (out); to extend; to stretch; to reach to; to get around; to fill (e.g. a space)
すっかり	すっかり	all; completely
ぐっすり	ぐっすり	sound asleep; fast asleep
有料	ゆうりょう	fee-charging; pay
次々	つぎつぎ	one after another; one by one
今頃	いまごろ	about this time
可愛がる	かわいがる	love; cherish
短気	たんき	short temper; quick-temper
に於いて	において	in; on; at (place); as for; regarding
縛る	しばる	to tie; to bind
自由	じゆう	freedom; free
玉ねぎ	たまねぎ	onion
防ぐ	ふせぐ	to prevent; to defend
大量	たいりょう	large quantity; great volume
満	まん	full (years, etc.)
不満	ふまん	dissatisfaction; discontent
申込書	もうしこみしょ	application form
納車	のうしゃ	delivery of a vehicle (to its new owner)
疎か	おろそか, おろか	neglect; negligence; carelessness; not to mention; needless to say
部品	ぶひん	parts; accessories
役に立たない	やくにたたない	of no avail; useless
傷	きず	wound; scar
拭く	ふく	wipe; dry
埃	ほこり	dust
修理	しゅうり	repairing; mending; servicing
たった	たった	only; merely
汗	あせ	sweat
情け	なさけ	sympathy; compassion
情けない	なさけない	pitiful; shameful
怪しい	あやしい	suspicious; dubious
栄養	えいよう	nutrition; nourishment
自慢	じまん	pride; boast
中断	ちゅうだん	interruption; discontinuance
同梱	どうこん	including something in a package
嵌まる	はまる	to get into; to go into; to fit; to be fit for; to suit; to fall into
聴く	きく	to hear; to listen (e.g. to music); to ask; to enquire; to query
支持	しじ	support; maintenance
戦場	せんじょう	battlefield; front
劇場版	げきじょうばん	movie version (based on TV series, anime, etc.); the movie
本編	ほんぺん	original story; original version; this volume
観る	みる	see/watch (a play, movie, sports game, etc)
泣ける	なける	to shed tears; to be moved to tears
お気に入り	おきにいり	favorite; favourite; pet
手がける	てがける	to make; to do; to produce; to work on
盛り上がる	もりあがる	become lively; get fired up
期待	きたい	expectation; anticipation
徐々	じょじょ	gradually; steadily; quietly; slowly; soon
鳥肌	とりはだ	gooseflesh; goose pimples; goose bumps
鳥肌が立つ	とりはだがたつ	to get goosebumps
総毛立つ	そうけだつ	to relate a hair-raising account or experience
作曲家	さっきょくか	composer
多数	たすう	large number; multitude
心情	しんじょう	sentiment; emotions; one's feelings; one's heart
心情的	しんじょうてき	sentimental; on an emotional level; in one's heart
現実	げんじつ	actuality; reality
現実的	げんじつてき	realistic; pragmatic
こっそり	こっそり	stealthily; secretly
ご無沙汰	ごぶさた	not writing or contacting for a while; long silence
界隈	かいわい	neighborhood; neighbourhood
割と	わりと	relatively; comparatively
元い	もとい	(in calisthenics) return to your original position!
呑む	のむ	to drink; to gulp; to swallow; to smoke (tobacco); to engulf; to overwhelm
等距離	とうきょり	equidistant
落ち着く	おちつく	calm down; settle in
肌	はだ	skin; surface
懐かしい	なつかしい	dear; missed; nostalgic
路地	ろじ	alley; alleyway; lane; teahouse garden
ごちゃごちゃ	ごちゃごちゃ	jumble; mix up; complaining about various things
当時	とうじ	at that time; in those days
都内	とない	in the metropolitan area of Tokyo
構える	かまえる	set up (shop)
職場	しょくば	place of work; office
出資	しゅっし	investment; contribution; financing
専門学校	せんもんがっこう	vocational/technical school
非常勤講師	ひじょうきんこうし	part-time lecturer; contract teacher
飾る	かざる	to decorate
派手	はで	showy; flashy
外れる	はずれる	be disconnected; get out of place; be off
幼少	ようしょう	infancy; childhood; tender age
連想	れんそう	association (of ideas); suggestion
いつの間にか	いつのまにか	before one becomes aware of; unnoticed
建設	けんせつ	construction; building
建設中	けんせつちゅう	under construction
溶け込む	とけこむ	melt into; become part of
浮き	うき	float (fishing); buoy
逞しい	たくましい	burly; strong; sturdy
管理	かんり	control; management (e.g. of a business)
早朝	そうちょう	early morning
巡り	めぐり	circumference; girth; tour; pilgrimage; circulation (e.g. of blood)
林道	りんどう	path through forest; woodland path
散策	さんさく	walking; strolling
大差	たいさ	great difference
絡める	からめる	to arrest; to entwine; to twine around; to mix together; to coordinate (with)
下流	かりゅう	lower classes; downstream
上流	じょうりゅう	upstream
県道	けんどう	prefectural road
抜ける	ぬける	to come out; to leave
クモの巣	クモのす	spiderweb
引っかかる	ひっかかる	to be caught in; to be stuck in; to be cheated
常に	つねに	always; constantly
脇	わき	armpit; the other way; another place; flank; supporting role
看板	かんばん	signboard; sign
曲がる	まがる	to bend; to turn; to curve
全線	ぜんせん	the whole line; all lines; the whole ship
全開	ぜんかい	opening fully; full throttle
ゆったり	ゆったり	comfortable
鳴き声	なきごえ	cry (esp. animal); roar
ぐるっと	ぐるっと	turning in a circle; going around; turning about; surrounding; encircling
素通り	すどおり	passing through without stopping; passing by
北上	ほくじょう	going north
南下	なんか	going south
大福	だいふく	great fortune; good luck; rice cake stuffed with bean jam
経つ	たつ	to pass; to elapse
舗装	ほそう	pavement; road surface
砂ぼこり	すなぼこり	cloud of dust (sand, etc.)
薄ら	うっすら, うすら	thinly; lightly; slightly; hazy; fuzzy; dim; faint; slight
足回り	あしまわり	chassis; undercarriage (of automobile or truck)
轍	わだち, てつ	rut; wheel track; furrow
擦る	こする	rub; strike
ヶ所	かしょ	passage; place; point; part
念の為	ねんのため	(just) making sure; just to be sure
歴代	れきだい	successive generations; successive emperors
愛車	あいしゃ	(one's) beloved car
実物	じつぶつ	real thing; actual object
やり直し	やりなおし	doing over; redoing
珍しい	めずらしい	unusual; rare
国道	こくどう	national highway
標識	ひょうしき	sign; mark; flag
汗だく	あせだく	dripping with sweat; bathed in perspiration
内輪ネタ	うちわネタ	private joke; inside joke
流石に	さすがに	as one would expect; still; all the same
範囲	はんい	range; scope
広範囲	こうはんい	extensive; vast range; wide scope
追跡	ついせき	pursuit; chase
向かって左	むかってひだり	on the left as one faces (it)
向かって右	むかってみぎ	on the right as one faces (it)
非常用	ひじょうよう	for emergency use
洪水	こうずい	flood; inundation
訪れる	おとずれる	to visit; to arrive, come or appear unexpectedly
洗車	せんしゃ	car wash
洗車場	せんしゃじょう	car wash
井戸水	いどみず	well water
こびり付く	こびりつく	to stick to; to cling to
戦利品	せんりひん	spoils of war; booty
坂	さか	slope; incline
路上	ろじょう	(on the) road; (on the) way
着地	ちゃくち	landing
拡大	かくだい	magnification; enlargement
手打ち	てうち	making noodles by hand; striking a deal; coming to an agreement; reconciliation
促す	うながす	urge; prompt; quicken
注意を促す	ちゅういをうながす	to call a person's attention (to)
音変化	おんぺんか	change in sound; shift in sound
辿り着く	たどりつく	to struggle on to; to arrive somewhere after a struggle; to grope along to
我が家	わがや	one's home
鍵盤楽器	けんばんがっき	keyboard (keyed) instrument
様式	ようしき	style, form, pattern
追記	ついき	PS; postscript
磁石	じしゃく	magnet; compass
月給	げっきゅう	monthly salary
髪の毛	かみのけ	hair
乾かす	かわかす	dry; dessicate (transitive)
乾く	かわく	dry; run dry
雨乞い	あまごい	praying for rain
人数	にんずう	number of people
体重	たいじゅう	body weight
増やす	ふやす	increase; add
減らす	へらす	to abate; to decrease; to diminish; to shorten
減る	へる	to decrease (in size or number); to diminish; to abate
他動詞	たどうし	transitive verb (direct obj.)
自動詞	じどうし	intransitive verb (no direct obj)
焼ける	やける	to be burned; be baked; be scorched
記憶	きおく	memory; recollection
絡む	からむ	to entangle; to entwine; to pick a quarrel; to find fault; to be involved with
絡み	からみ	linkage; entanglement; involvement; relationship
遠ざかる	とおざかる	to go far off
正直	しょうじき	honest; upright
何事	なにごと	what; something; everything; nothing (with neg. verb)
本動詞	ほんどうし	main verb
助動詞	じょどうし	auxiliary verb
予告編	よこくへん	(film, movie) preview
病人	びょうにん	sick person; patient
立ち上げる	たちあげる	to start (something); to boot (a computer)
立ち上がる	たちあがる	stand up; take action
殖やす	ふやす	increase; add to; augment
離す	はなす	to part; to divide; to separate; to release
離れる	はなれる	to be separated from; to leave
出産	しゅっさん	childbirth; (giving) birth; delivery; parturition; confinement<br/>production (of goods)
生物	せいぶつ	living thing; creature; biology
この世	このよ	this world; the present life
強調	きょうちょう	emphasis; stress
縞馬	しまうま	zebra
誕生	たんじょう	birth
抽象	ちゅうしょう	abstraction
傑作	けっさく	masterpiece; best work
利益	りえき	profit; benefit; advantage; interest (of the public, etc.)
誤解	ごかい	misunderstanding
発言	はつげん	utterance; speech
産む	うむ	to give birth to
生む	うむ	to give birth; to bear (child); to lay (eggs) <br/>to produce; to yield; to give rise to; to deliver
生まれる	うまれる	to be born
産まれる	うまれる	to be born
貴重	きちょう	precious; valuable
有意義	ゆういぎ	significant; useful; meaningful; worthwhile; valuable; of interest
韻文	いんぶん	verse; poetry
宅配	たくはい	home delivery
無用	むよう	useless; unnecessary
母音	ぼいん	vowel
子音	しいん	consonant
鍾乳洞	しょうにゅうどう	limestone cave (cavern, grotto)
菊	きく	chrysanthemum
低音	ていおん	low tone; bass; low voice
高音	こうおん, たかね	high-pitched tone; soprano
上司	じょうし	boss
休業	きゅうぎょう	suspension of business; closure
商品	しょうひん	commodity; goods; merchandise
溺れる	おぼれる	to drown; to be drowned
語源	ごげん	word root; word derivation; etymology
婉曲	えんきょく	euphemistic; circumlocution; roundabout; indirect
そびれる	そびれる	to miss a chance; to fail to do
ややこしい	ややこしい	puzzling; tangled; complicated; complex
禁断	きんだん	prohibition; interdiction
掘り下げる	ほりさげる	to dig down; to delve into; to get to the bottom of (a matter)
喉ちんこ	のどちんこ	uvula
口蓋垂	こうがいすい	uvula
奥	おく	inner part; the back; inner chamber
空気	くうき	air; atmosphere
呼気	こき	exhalation
塞ぐ	ふさぐ	close; shut
記号	きごう	symbol; mark
大文字	おおもじ, だいもんじ	upper case letters; large characters; capital letter
置き換える	おきかえる	to replace; to move; to change the position of
歯茎	はぐき	gums; teethridge
根本	こんぽん	basis; root
舌	した	tongue
くっ付ける	くっつける	join; paste
無理やり	むりやり	by force; against one's will
用意	ようい	prepare; ready oneself
因みに	ちなみに	by the way; in this connection; incidentally; in passing
合わせる	あわせる	to match, to put together; to adapt; to fit
あくまで	あくまで	to the end; to the last; stubbornly
其々	それぞれ	each; respective
前歯	まえば	front tooth
唇	くちびる	lip; lips
唇音	しんおん	labial sound
息	いき	breath
鼻音	びおん	nasal sound; nasal
昆布	こんぶ, こぶ	kombu (any kelp of genus Laminaria) (konbu); devil's apron
当てる	あてる	to hit; to apply; to guess (right)
仙台	せんだい	Sendai (city)
信頼	しんらい	reliance; trust; faith; confidence
破る	やぶる	to defeat; to tear; to break through
貫通	かんつう	pierce; penetrate; perforate
洗剤	せんざい	detergent; cleanser
感知	かんち	perception
新人	しんじん	newcomer; freshman
口蓋	こうがい	palate
合体	がったい	union; coalescence; amalgamation; combination; alliance; annexation; copulation
カンニング	カンニング	cheating
軟口蓋	なんこうがい	soft palate
満開	まんかい	full bloom
進学	しんがく	entering a school of higher grade
半額	はんがく	half; half-amount; half price
鼻濁音	びだくおん	nasal sound
衝撃	しょうげき	shock; crash; impact; ballistic
調音	ちょうおん	articulation
其れと	それと	And one more thing
